BERN,CUI-less,CUI_list,MESH,OMIM,_id,wipsonkey
107482201,[],"[""C1527320"",""C3537146"",""C0025281""]",D008575,[],60e2b0277a3afc879de76ba7,5420052005763
254936201,[],"[""C0009241"",""C0029947""]",D003072,[],60e2b0277a3afc879de76ba9,5420052005763
106970401,[],"[""C0751324"",""C0026769""]",D009103,126200,60e2b02d7a3afc879de76baa,5420052005763
256014601,[],"[""C0751071"",""C0497327"",""C0338630""]",D003704,[],60e2b02d7a3afc879de76bac,5420052005763
106971001,[],"[""C0030567""]",D010300,[],60e2b02d7a3afc879de76bad,5420052005763
106924801,[],"[""C0338582"",""C0085220""]",D016657,[],60e2b02d7a3afc879de76bae,5420052005763
107288501,[],"[""C0268383"",""C0268384"",""C0206245"",""C1527337"",""C0155127"",""C0268385"",""C4551500"",""C0936273"",""C0342608"",""C0268386""]",D028227,[],60e2b02d7a3afc879de76baf,5420052005763
106990601,[],"[""C0751207"",""C0751208"",""C0020179"",""C0393574""]",D006816,143100,60e2b02d7a3afc879de76bb0,5420052005763
258607701,[],"[""C0524528"",""C0008074""]",D002659,[],60e2b02d7a3afc879de76bb1,5420052005763
106965801,[],"[""C0750900"",""C0002395"",""C0494463"",""C0011265"",""C0546126"",""C0276496"",""C0750901""]",D000544,104300,60e2b02d7a3afc879de76bb6,5420052005763
260079301,[],"[""C0036341""]",D012559,181500,60e2b02d7a3afc879de76bb7,5420052005763
107496601,[],"[""C3542501"",""C4551910"",""C0018378"",""C4083008""]",D020275,139393,60e2b04b7a3afc879de76bca,5420052005763
255931001,[],"[""C0027746""]",D009410,[],60e2b04b7a3afc879de76bcb,5420052005763
107273701,[],"[""C0751964"",""C0751965"",""C0393666"",""C0393665""]",D020528,[],60e2b04f7a3afc879de76bcd,5420052005763
255886401,[],"[""C0270715"",""C0751733"",""C0524851""]",D019636,[],60e2b04f7a3afc879de76bd1,5420052005763
261513601,[],"[""C0525041""]",D019954,[],60e2b04f7a3afc879de76bd5,5420052005763
106917801,[],"[""C2930619"",""C0266362"",""C0392697"",""C0036875"",""C0019269"",""C2930618"",""C0033804""]",D012734,[],60e2b0527a3afc879de76bdf,5420052005763
107254301,[],"[""C0018817"",""C0031192"",""C0344724""]",D006344,[],60e2b0527a3afc879de76be7,5420052005763
121379901,[],"[""C1321905"",""C1263846"",""C0041671""]",D001289,143465,60e2b0527a3afc879de76bea,5420052005763
258146301,[],"[""C0036659"",""C0152027"",""C0751497""]",D012678,[],60e2b0537a3afc879de76bf5,5420052005763
267005501,[],"[""C0086525"",""C0015672""]",D005221,[],60e2b0537a3afc879de76bf6,5420052005763
107537501,[],"[""C0917990""]",D030981,[],60e2b0667a3afc879de76bff,5420052005763
256739001,[],"[""C0027932""]",D009497,[],60e2b0697a3afc879de76c00,5420052005763
107539401,[],"[""C0242380"",""C0024141""]",D008180,152700,60e2b06e7a3afc879de76c08,5420052005763
261243901,[],"[""C0012634""]",D004194,[],60e2b06e7a3afc879de76c0a,5420052005763
107417601,[],"[""C0014072""]",D004681,[],60e2b0917a3afc879de76c1f,5420052005763
260079301,[],"[""C0036341""]",D012559,181500,60e2b0fa7a3afc879de76c3d,4920047005061
254053101,[],"[""C0013170"",""C0237123"",""C0013222"",""C4316881"",""C0038586"",""C0013146"",""C0038580"",""C0236969"",""C0740858"",""C0029231"",""C1510472""]",D019966,[],60e2b0fa7a3afc879de76c3e,4920047005061
255148401,[],"[""C0150055"",""C3178789""]",D059350,[],60e2b0fa7a3afc879de76c3f,4920047005061
258174001,[],"[""C0004352""]",D001321,209850,60e2b0fa7a3afc879de76c40,4920047005061
258607701,[],"[""C0524528"",""C0008074""]",D002659,[],60e2b0fa7a3afc879de76c42,4920047005061
106917801,[],"[""C2930619"",""C0266362"",""C0392697"",""C0036875"",""C0019269"",""C2930618"",""C0033804""]",D012734,[],60e2b0fa7a3afc879de76c43,4920047005061
254936201,[],"[""C0009241"",""C0029947""]",D003072,[],60e2b0fb7a3afc879de76c45,4920047005061
259420101,[],"[""C0031570"",""C0008909"",""C0349231""]",D010698,[],60e2b0fb7a3afc879de76c48,4920047005061
254324401,[],"[""C0004936"",""C0376338"",""C4046029"",""C0004930""]",D001523,[],60e2b0fc7a3afc879de76c4b,4920047005061
266993701,[],"[""C2931429""]",C537163,[],60e2b1177a3afc879de76c51,4920047005061
256014601,[],"[""C0751071"",""C0497327"",""C0338630""]",D003704,[],60e2b1177a3afc879de76c57,4920047005061
106971001,[],"[""C0030567""]",D010300,[],60e2b1177a3afc879de76c58,4920047005061
106924801,[],"[""C0338582"",""C0085220""]",D016657,[],60e2b1177a3afc879de76c59,4920047005061
107288501,[],"[""C0268383"",""C0268384"",""C0206245"",""C1527337"",""C0155127"",""C0268385"",""C4551500"",""C0936273"",""C0342608"",""C0268386""]",D028227,[],60e2b1177a3afc879de76c5a,4920047005061
106990601,[],"[""C0751207"",""C0751208"",""C0020179"",""C0393574""]",D006816,143100,60e2b1177a3afc879de76c5b,4920047005061
255886401,[],"[""C0270715"",""C0751733"",""C0524851""]",D019636,[],60e2b1177a3afc879de76c5c,4920047005061
107254301,[],"[""C0018817"",""C0031192"",""C0344724""]",D006344,[],60e2b1177a3afc879de76c5e,4920047005061
121379901,[],"[""C1321905"",""C1263846"",""C0041671""]",D001289,143465,60e2b1177a3afc879de76c61,4920047005061
107482201,[],"[""C1527320"",""C3537146"",""C0025281""]",D008575,[],60e2b1177a3afc879de76c62,4920047005061
106965801,[],"[""C0750900"",""C0002395"",""C0494463"",""C0011265"",""C0546126"",""C0276496"",""C0750901""]",D000544,104300,60e2b1177a3afc879de76c66,4920047005061
106970401,[],"[""C0751324"",""C0026769""]",D009103,126200,60e2b1177a3afc879de76c67,4920047005061
261513601,[],"[""C0525041""]",D019954,[],60e2b1497a3afc879de76c72,5420023004414
261410801,[],"[""C0012634""]",D004194,[],60e2b1497a3afc879de76c73,5420023004414
254936201,[],"[""C0009241"",""C0029947""]",D003072,[],60e2b1507a3afc879de76c75,5420023004414
259420101,[],"[""C0031570"",""C0008909"",""C0349231""]",D010698,[],60e2b1517a3afc879de76c7c,5420023004414
254991101,[],"[""C0747767"",""C1136393"",""C0038436"",""C0730525"",""C4505439""]",D013313,[],60e2b1517a3afc879de76c7f,5420023004414
260079301,[],"[""C0036341""]",D012559,181500,60e2b1517a3afc879de76c80,5420023004414
258607701,[],"[""C0524528"",""C0008074""]",D002659,[],60e2b1517a3afc879de76c81,5420023004414
256014601,[],"[""C0751071"",""C0497327"",""C0338630""]",D003704,[],60e2b1517a3afc879de76c83,5420023004414
106971001,[],"[""C0030567""]",D010300,[],60e2b1517a3afc879de76c84,5420023004414
106990601,[],"[""C0751207"",""C0751208"",""C0020179"",""C0393574""]",D006816,143100,60e2b1517a3afc879de76c85,5420023004414
106924801,[],"[""C0338582"",""C0085220""]",D016657,[],60e2b1517a3afc879de76c86,5420023004414
107288501,[],"[""C0268383"",""C0268384"",""C0206245"",""C1527337"",""C0155127"",""C0268385"",""C4551500"",""C0936273"",""C0342608"",""C0268386""]",D028227,[],60e2b1517a3afc879de76c87,5420023004414
106965801,[],"[""C0750900"",""C0002395"",""C0494463"",""C0011265"",""C0546126"",""C0276496"",""C0750901""]",D000544,104300,60e2b1517a3afc879de76c88,5420023004414
106970401,[],"[""C0751324"",""C0026769""]",D009103,126200,60e2b1517a3afc879de76c89,5420023004414
121379901,[],"[""C1321905"",""C1263846"",""C0041671""]",D001289,143465,60e2b1517a3afc879de76c8b,5420023004414
107482201,[],"[""C1527320"",""C3537146"",""C0025281""]",D008575,[],60e2b1517a3afc879de76c8c,5420023004414
255273301,[],"[""C1571984"",""C1571983"",""C0011574"",""C1269683""]",D003865,608516,60e2b1517a3afc879de76c91,5420023004414
259108001,[],"[""C0036429""]",D012598,[],60e2b1727a3afc879de76ca2,5420023004414
255886401,[],"[""C0270715"",""C0751733"",""C0524851""]",D019636,[],60e2b1727a3afc879de76caa,5420023004414
107254301,[],"[""C0018817"",""C0031192"",""C0344724""]",D006344,[],60e2b17e7a3afc879de76cac,5420023004414
106971301,[],"[""C0751071"",""C0497327"",""C0338630""]",D003704,[],60e2b17e7a3afc879de76cae,5420023004414
2393101,[],"[""C0024713"",""C5241301"",""C0005586"",""C0005587""]",D001714,[],60e2b1cf7a3afc879de76cd0,5420023004414
106917801,[],"[""C2930619"",""C0266362"",""C0392697"",""C0036875"",""C0019269"",""C2930618"",""C0033804""]",D012734,[],60e2b1d17a3afc879de76cd3,5420023004414
255931001,[],"[""C0027746""]",D009410,[],60e2b1d17a3afc879de76cd9,5420023004414
256739001,[],"[""C0027932""]",D009497,[],60e2b1d17a3afc879de76ce4,5420023004414
258174001,[],"[""C0004352""]",D001321,209850,60e2b1f67a3afc879de76d07,5420023004414
265433301,[],"[""C2748918""]",C567577,[],60e2b1f67a3afc879de76d08,5420023004414
